name,catagory,yop,image
Cuban Revolution: A History from Beginning to End,1,2023,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81a4jGnWt5L._AC_UY218_.jpg
History Of Odisha,1,2019,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81r0l2htCVL._AC_UY218_.jpg
Chechen Wars: A History from Beginning to End,1,2023,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/814qw7Ln80L._AC_UY218_.jpg
The Naked Mughals: Forbidden Tales of Harem and Butchery (Reviving Indian History Book 2),1,2017,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/91j6FjtHISL._AC_UY218_.jpg
The Past as Present: Forging Contemporary Identities Through History,1,0,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/91awJwXV4yL._AC_UY218_.jpg
Alaska Natives: A Captivating Guide to the History of the Indigenous Peoples of Alaska,1,2023,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71bopmwl55L._AC_UY218_.jpg
The History of Philosophy,1,0,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81IyPWsb-IL._AC_UY218_.jpg
Byzantine Empire: A History From Beginning to End,1,2018,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/91wZxNDt14L._AC_UY218_.jpg
"History of India and Indian Mythology: An Enthralling Guide to Major Civilizations, Empires, Events, People, and Myths (Exploring the Past)",1,2023,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/91e0JkyxiwL._AC_UY218_.jpg
"History of the Netherlands: A Captivating Guide to Ancient Germanic and Celtic Tribes, the Eighty Years’ War, the Dutch Empire and Republic, and Modern Times (European Countries)",1,2023,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81TQYsMRLgL._AC_UY218_.jpg
Offline esaral printed study material chemistry,1,2021,https://m.media-amazon.com/images/I/71atjbG1dgL._AC_UY218_.jpg
Meditations,1,2017,https://m.media-amazon.com/images/I/81ZeeOjADFL._AC_UY218_.jpg
INDIAN HISTORY ( Based On NCERT Books ) Includes Free Booklet [ TELUGU MEDIUM ],1,2023,https://m.media-amazon.com/images/I/61r-diFHiTL._AC_UY218_.jpg
Modern India | Brief History | Spectrum | Rajiv Ahir | UPSC | Civil Services Exam | State Administrative Exams - 2022/edition,1,2022,https://m.media-amazon.com/images/I/71SuNzI-wZL._AC_UY218_.jpg
KHAN G.S History Class Notes,1,2022,https://m.media-amazon.com/images/I/4113EiYB5wL._AC_UY218_.jpg
"History: From Ancient Civilizations to Modern Times: Human History in 50 Events: From Ancient Civilizations to Modern Times (World History, History Books, People History): 1",1,2016,https://m.media-amazon.com/images/I/61wBeyg6W-L._AC_UY218_.jpg
India's Ancient Past | Oxford India Paperbacks| Suited For UPSC Aspirants And Undergraduate Students Of History Major,1,2006,https://m.media-amazon.com/images/I/71QV6g38FdL._AC_UY218_.jpg
Arihant Magbook Indian History for UPSC Civil Services IAS Prelims / State PCS & other Competitive Exam | IAS Mains PYQs,1,2023,https://m.media-amazon.com/images/I/61rmVPd8+5L._AC_UY218_.jpg
Sasanian Empire: A History from Beginning to End,1,2023,https://m.media-amazon.com/images/I/81JWwkdt7WL._AC_UY218_.jpg
Adhunik Bharat Ka Etihas | Brief History of Modern India | Spectrum | Rajiv Ahir | UPSC | Civil Services Exam | State Administrative Exams - 2022/edition,1,2022,https://m.media-amazon.com/images/I/81ocV27xxvL._AC_UY218_.jpg
"Arihant Test Drive 15 Practice Sets For NEET UG 2024 |As per NMC Notice dated 6 Oct, 2023 | Physics, Chemistry, Botany & Zoology",1,2023,https://m.media-amazon.com/images/I/611uZ9EgrsL._AC_UY218_.jpg
Relativity:The Special and the General Theory,1,2017,https://m.media-amazon.com/images/I/712UNxm026L._AC_UY218_.jpg
NCERT Our Pasts 3 Part 1 Textbook in History for Class 8 (English),1,2005,https://m.media-amazon.com/images/I/61uSZt8lbDL._AC_UY218_.jpg
